artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Billie Eilish,my future,2ygvZOXrIeVL4xZmAWJT2C,87,0.444,0.309,8,-10.956,1,0.062,0.132,0.35200000000000004,0.0875,104.745,208155,4,1
Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,90,0.597,0.45,8,-6.6579999999999995,1,0.0418,0.0,0.382,0.537,178.765,228482,3,1
Taylor Swift,the 1,0Jlcvv8IykzHaSmj49uNW8,83,0.777,0.35700000000000004,0,-6.942,1,0.0522,7.28e-06,0.10800000000000001,0.172,139.88299999999998,210252,4,1
Roddy Ricch,The Box,0nbXyq5TXYPCO7pr3N8S4I,89,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.0,0.79,0.642,116.971,196653,4,1
Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,85,0.701,0.65,6,-6.313,1,0.10400000000000001,0.0,0.11199999999999999,0.647,90.00299999999999,160212,4,1
Taylor Swift,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,85,0.298,0.38,6,-8.426,1,0.0287,5.6200000000000004e-05,0.11,0.152,75.602,285634,4,1
Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,86,0.8340000000000001,0.45399999999999996,1,-9.75,0,0.201,6.15e-06,0.114,0.8370000000000001,81.618,247059,4,1
Juice WRLD,Conversations,4K06PO78fW4mnBVenxGNob,85,0.747,0.622,11,-5.825,1,0.0838,0.0,0.151,0.57,159.93,181661,4,1
Juice WRLD,Life's A Mess (feat. Halsey),5wWAwzGp2OaaoIkwcz6wZs,82,0.63,0.446,1,-8.9,1,0.0351,0.0,0.166,0.177,143.078,202193,4,1
THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,87,0.716,0.537,0,-7.648,0,0.0514,0.0,0.157,0.28,129.97899999999998,165978,4,1
6ix9ine,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,83,0.611,0.688,1,-5.688,1,0.341,0.0,0.251,0.39299999999999996,178.46200000000002,132303,4,1
6ix9ine,TROLLZ (with Nicki Minaj),3dVvWnj4D8JGkKvo6Hucso,77,0.7440000000000001,0.42200000000000004,1,-8.946,1,0.294,0.00011,0.11,0.493,180.00599999999997,202667,4,1
Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,89,0.764,0.32,11,-7.209,1,0.0546,0.0,0.0822,0.575,91.01899999999999,189486,4,1
Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,87,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.657,0.106,0.243,120.006,245426,4,1
Tones And I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,90,0.8240000000000001,0.588,6,-6.4,0,0.0924,0.00010400000000000001,0.149,0.513,98.027,209438,4,1
Lady Gaga,Stupid Love,7yBbV2k2S2uhaQc24NF2xt,80,0.68,0.825,8,-4.296,1,0.0702,0.000122,0.27,0.784,117.98700000000001,193533,4,1
Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86,0.8079999999999999,0.745,10,-5.26,0,0.342,0.0,0.292,0.8290000000000001,165.995,210800,4,1
Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,90,0.501,0.405,1,-5.678999999999999,1,0.0319,0.0,0.105,0.446,109.891,182161,4,1
Drake,Pain 1993 (with Playboi Carti),6Kj17Afjo1OKJYpf5VzCeo,74,0.825,0.373,5,-5.532,0,0.10800000000000001,0.0,0.368,0.12,77.271,149078,4,1
Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,87,0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0,0.46,0.457,116.735,163636,5,1
The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,80,0.537,0.746,10,-5.507000000000001,0,0.15,1.01e-06,0.156,0.252,170.062,198267,4,1
Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,88,0.598,0.42700000000000005,7,-8.764,0,0.0317,5.83e-06,0.21,0.0605,76.469,175721,4,1
Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,85,0.654,0.63,10,-4.644,1,0.0259,0.0,0.111,0.43,89.991,167693,4,1
Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,84,0.698,0.45399999999999996,1,-6.756,0,0.151,0.0,0.155,0.13699999999999998,92.932,260640,4,1
Various Artists,Yummy,100hmq1iZxkcST6Q1cmf1D,0,0.677,0.506,9,-6.652,0,0.0964,0.0,0.11800000000000001,0.49700000000000005,145.843,208520,4,1
