artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Thunder Jackson,Let It Roll In,7qttmnk2aNs1P6H6Y3rEKX,26,0.68,0.572,11,-5.164,1,0.0313,0.000102,0.0989,0.214,140.043,238938,4,0
Plants and Animals,Love That Boy,3HChMC25vomaAsHsrmMHck,36,0.684,0.751,8,-7.405,0,0.0229,0.322,0.0996,0.847,101.523,224507,4,0
Sirens Of Lesbos,Pala,4GnihbeTbQabc4N2GUbB90,41,0.585,0.651,7,-11.924,1,0.0354,0.00136,0.1,0.613,160.955,188255,4,0
Richard Orofino,i heard you were looking like the moon,4Yw8XKDrmJSMNFqvd8JZJ6,17,0.343,0.324,4,-13.33,1,0.031,0.0224,0.117,0.133,145.996,223125,4,0
Peach Pit,Psychics in LA,5tsB5ROYUKKisUaJQIEEfv,53,0.328,0.849,1,-5.02,0,0.052,1.33e-05,0.232,0.624,132.047,206733,3,0
Lyrah,Slow Down,61vgJ4jjOhqQKywXEJgedC,24,0.596,0.235,3,-10.316,0,0.0362,0.0001,0.106,0.173,83.04,192062,4,0
Cero Ismael,Missing Out,0pxYbh4Uf73JXJ0qqEinBh,37,0.741,0.331,11,-9.542,0,0.163,0.0,0.16,0.575,103.869,161558,4,0
Skylar Grey,Fucking Crazy,12O4Q1ZMuAWzxQS7fLiGgr,47,0.265,0.233,3,-13.039,1,0.0273,0.00012,0.114,0.083,88.862,189512,4,0
Saint Clair,elegy in c,7hDysdmbcua9MxfoOoaPPk,11,0.657,0.469,0,-12.107,1,0.047,0.000139,0.357,0.307,119.984,276000,4,0
Adrianne Lenker,dragon eyes,2ekbbIo2pkeqHkXsGPk8G8,48,0.489,0.204,9,-17.264,1,0.0427,9.35e-05,0.123,0.508,166.842,206434,4,0
CRi,Signal,781SNFn2D2ifFxUtkwYLdw,35,0.64,0.545,2,-10.049,1,0.0301,0.0602,0.0972,0.244,104.984,244267,4,0
Wallows,Virtual Aerobics,1fpGZJnHXFEbq8UIWIKmHH,65,0.775,0.55,9,-3.765,1,0.0345,0.0,0.0434,0.72,109.952,122333,4,0
Malvae,Slash & Burn,6h8n6zwpt4J3mS8j5c8EQQ,28,0.549,0.618,6,-11.37,0,0.101,0.139,0.13,0.319,102.035,288534,4,0
IYAMAH,KYWK,1q69yEnmc6Zobcj3IuddGa,39,0.617,0.506,9,-6.835,0,0.322,0.0,0.122,0.166,78.749,167368,4,0
Suzi Wu,Eat Them Apples,5cCrDKEfAvOK1zczpk5y2S,31,0.781,0.442,1,-11.079,1,0.0387,0.618,0.0759,0.0891,110.03,177590,4,0
Greta Jaime,Exit Signs,44OpWu4nxW8DrsqyxuVI7w,18,0.561,0.505,11,-6.244,0,0.0314,0.0,0.301,0.191,97.858,211667,4,0
Pastel,Caninha Love,4DEUQ1YbLnU0lqcSW7I9Rb,27,0.793,0.67,10,-8.061,0,0.076,0.755,0.149,0.34,106.026,172075,4,0
Elina,Remember,5x2kt6LCe6a2ePj3sb7IV2,49,0.587,0.316,5,-13.515,1,0.03,0.000588,0.368,0.402,144.047,194593,4,0
Bluebiird,I Say a Little Prayer,3CTurs1tXBSPzilegfBBkd,25,0.748,0.456,9,-7.891,0,0.0262,0.0,0.224,0.377,100.012,192341,4,0
Chymes,Worship,0RU57RTiECAfVGWpgU3FZa,27,0.797,0.394,6,-8.484,0,0.0511,1.13e-05,0.103,0.624,143.929,181500,4,0
Amilli,Kinky Looks,5NHGMzGvAmWYD0ULkuCWXY,29,0.425,0.358,8,-7.537,0,0.0354,1.1e-06,0.126,0.223,98.99,199697,3,0
